"LURN_SAK","INCIDENT_DATE","STAT","STAT_DESC","STREET","CITY","ZIP","INCIDENT_ID","REPORTING_DISTRICT","SEQ","UNIT_ID","UNIT_NAME","DELETED"
18591251,"2018-05-26 04:16:00","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","11200 MANHATTAN PL","LOS ANGELES",,"918-04093-0373","0373","04093","CA0190003","SOUTH LOS ANGELES","N"
18591484,"2018-05-26 04:30:00","093","GRAND THEFT VEHICLE (GTA): Truck, Motor Home, Cargo Van","13700 WOODROFF AVE","BELLFLOWER","90706","918-11877-1331","1331","11877","CA0190013","LAKEWOOD","N"
18585800,"2018-05-20 21:45:00","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","1000 ORANGE GROVE AVE","WEST HOLLYWOOD",,"918-03287-0974","0974","03287","CA0190009","WEST HOLLYWOOD","N"
18585418,"2018-05-20 22:00:00","093","GRAND THEFT VEHICLE (GTA): Truck, Motor Home, Cargo Van","4100 UNION PACIFIC AVE","LOS ANGELES",,"918-07627-0278","0278","07627","CA0190002","EAST LOS ANGELES","N"
18587289,"2018-05-22 18:00:00","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","4600 WHITTIER BLVD","LOS ANGELES",,"918-07729-0293","0293","07729","CA0190002","EAST LOS ANGELES","N"
18584975,"2018-05-21 14:15:00","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","8TH ST E AND AVENUE K","LANCASTER",,"918-09932-1137","1137","09932","CA0190024","LANCASTER","N"
18586204,"2018-05-21 20:00:00","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","43700 CHALLENGER WAY","LANCASTER","93535","918-10028-1133","1133","10028","CA0190024","LANCASTER","N"
18586413,"2018-05-22 07:14:00","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","3700 ABBOTT RD","LYNWOOD","90262","918-07473-2113","2113","07473","CA01900V3","CENTURY","N"
18586586,"2018-05-22 10:36:44","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","2800 E ALONDRA BLVD","COMPTON",,"918-07108-2847","2847","07108","CA0190042","COMPTON","N"
18586651,"2018-05-22 11:30:00","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","2400 N LAKE AVE","ALTADENA","91001","918-01465-0773","0773","01465","CA0190007","ALTADENA","N"
18586807,"2018-05-22 12:50:00","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","11700 ROSECRANS AVE","NORWALK","90650","918-07922-0455","0455","07922","CA0190004","NORWALK","N"
18587006,"2018-05-22 15:40:00","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","800 W 139TH ST","COMPTON",,"918-07499-2137","2137","07499","CA01900V3","CENTURY","N"
18587038,"2018-05-22 17:08:00","095","GRAND THEFT VEHICLE (GTA): Motorcycle","3900 MANHATTAN BEACH BLVD","LAWNDALE",,"918-03991-0388","0388","03991","CA0190003","SOUTH LOS ANGELES","N"
18587870,"2018-05-23 04:10:00","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","DATE AVE AND AVENUE J-6","LANCASTER",,"918-10141-1122","1122","10141","CA0190024","LANCASTER","N"
18587466,"2018-05-23 06:41:59","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","14400 DINARD AVE","NORWALK",,"918-07959-0459","0459","07959","CA0190004","NORWALK","N"
18588391,"2018-05-23 14:45:00","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","3100 W AVENUE K","LANCASTER","93535","918-10191-1129","1129","10191","CA0190024","LANCASTER","N"
18594898,"2018-05-23 15:00:00","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","19800 W AVENUE B","LANCASTER","93536","918-10627-1187","1187","10627","CA0190024","LANCASTER","N"
18588264,"2018-05-23 18:00:00","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","4700 E 52ND PL","MAYWOOD",,"918-07774-0251","0251","07774","CA0190002","EAST LOS ANGELES","N"
18590091,"2018-05-23 22:30:00","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","19900 VISTA HERMOSA DR","WALNUT",,"918-03331-2917","2917","03331","CA0190020","WALNUT","N"
18589396,"2018-05-24 00:00:00","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","SANTA FE AVE AND WALNUT ST","WALNUT PARK",,"918-05415-1620","1620","05415","CA0190016","CARSON","N"
18589827,"2018-05-24 19:57:29","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","200 E LOMITA BLVD","CARSON","90746","918-05431-1624","1624","05431","CA0190016","CARSON","N"
18588561,"2018-05-24 04:50:00","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","12000 LONG BEACH BLVD","LYNWOOD","90262","918-07588-2117","2117","07588","CA01900V3","CENTURY","N"
18589473,"2018-05-24 14:30:00","097","GRAND THEFT VEHICLE (GTA): Other Veh (Snowmobile, Golf Cart, Etc)","45100 N TREVOR AVE","LANCASTER",,"918-10236-1132","1132","10236","CA0190024","LANCASTER","N"
18589642,"2018-05-24 19:15:00","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","42800 35TH ST W","LANCASTER",,"918-10259-1135","1135","10259","CA0190024","LANCASTER","N"
18590138,"2018-05-24 21:00:00","093","GRAND THEFT VEHICLE (GTA): Truck, Motor Home, Cargo Van","11400 WRIGHT RD","LYNWOOD","90262","918-07653-2115","2115","07653","CA01900V3","CENTURY","N"
18590844,"2018-05-25 17:43:00","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","4300 E SAN LUIS ST","COMPTON",,"918-07317-2851","2851","07317","CA0190042","COMPTON","N"
18591102,"2018-05-25 20:30:00","095","GRAND THEFT VEHICLE (GTA): Motorcycle","400 S PAULSEN AVE","COMPTON",,"918-07333-2835","2835","07333","CA0190042","COMPTON","N"
18594210,"2018-05-26 00:30:00","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","DELTA AVE AND GRAND AVE","ROSEMEAD","91770","918-06551-0530","0530","06551","CA0190005","TEMPLE","N"
18591685,"2018-05-26 09:15:00","091","GRAND THEFT VEHICLE (GTA): Automobile/Passenger Van","2500 LORIN AVE","S EL MONTE","91733","918-06415-0560","0560","06415","CA0190005","TEMPLE","N"
